X,Y,Intersecti,Location,Longitude,Latitude,TSIs,TSIscont
-92.025426,30.212282,19.00000000000,JOHNSTON @ LEWIS,-92.02542600000,30.21228200000,019_Johnston St_@ Lewis St Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\019_Johnston St_@ Lewis St Layout1-A (1).pdf#,019_Johnston St_@ Lewis St Layout1-B (1).pdf#\\Becky-34318\TSI - .pdf's\019_Johnston St_@ Lewis St Layout1-B (1).pdf#
-92.026909,30.21151,20.00000000000,JOHNSTON @ ST JULIEN,-92.02690900000,30.21151000000,020_Johnston st_ @ St_Julien St Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\020_Johnston st_ @ St_Julien St Layout1-A (1).pdf#,020_Johnston st_ @ St_Julien St Layout1-B (1).pdf#\\Becky-34318\TSI - .pdf's\020_Johnston st_ @ St_Julien St Layout1-B (1).pdf#
-92.038364,30.207271,21.00000000000,JOHNSTON @ COLLEGE,-92.03836400000,30.20727100000,,
-92.040778,30.205814,22.00000000000,JOHNSTON @ BERTRAND,-92.04077800000,30.20581400000,,
-92.048881,30.203424,23.00000000000,JOHNSTON @ VITAL/DOUCET,-92.04888100000,30.20342400000,,
-92.015356,30.201021,24.00000000000,COLLEGE @ PINHOOK,-92.01535600000,30.20102100000,,
-92.019356,30.20144,25.00000000000,COLLEGE @ COOLIDGE/BENDEL,-92.01935600000,30.20144000000,,
-92.05302,30.201925,26.00000000000,JOHNSTON @ ARNOULD,-92.05302000000,30.20192500000,,
-92.057046,30.196231,27.00000000000,JOHNSTON @ BRENTWOOD,-92.05704600000,30.19623100000,,
-92.058626,30.193735,28.00000000000,JOHNSTON @ GUILBEAU/CAMELLIA,-92.05862600000,30.19373500000,,
-92.063576,30.188856,29.00000000000,JOHNSTON @ LANA,-92.06357600000,30.18885600000,,
-92.071253,30.181366,30.00000000000,JOHNSTON @ RIDGE,-92.07125300000,30.18136600000,,
-92.074486,30.178089,31.00000000000,JOHNSTON @ AMBASSADOR,-92.07448600000,30.17808900000,,
-91.99952,30.209169,32.00000000000,THRUWAY @ SURREY/UNIVERSITY,-91.99952000000,30.20916900000,,
-92.004668,30.21769,33.00000000000,THRUWAY @ PINHOOK,-92.00466800000,30.21769000000,,
-91.995171,30.210632,34.00000000000,SURREY @ BLUE BLVD,-91.99517100000,30.21063200000,,
-92.008184,30.222501,35.00000000000,NB THRUWAY @ 12TH,-92.00818400000,30.22250100000,,
-92.011668,30.229022,36.00000000000,NB THRUWAY @ JEFFERSON,-92.01166800000,30.22902200000,,
-92.01214,30.229874,37.00000000000,NB THRUWAY @ 3RD,-92.01214000000,30.22987400000,,
-92.012778,30.232959,38.00000000000,NB THRUWAY @ MUDD,-92.01277800000,30.23295900000,,
-92.011811,30.244646,39.00000000000,NB THRUWAY @ WILLOW,-92.01181100000,30.24464600000,,
-92.013375,30.244843,40.00000000000,SB THRUWAY @ WILLOW,-92.01337500000,30.24484300000,,
-92.014062,30.233118,41.00000000000,SB THRUWAY @ MUDD,-92.01406200000,30.23311800000,,
-92.01298,30.229514,42.00000000000,SB THRUWAY @ 3RD,-92.01298000000,30.22951400000,042_Evangeline Thruway SB @ Third St Layout1 -A(1).pdf#\\Becky-34318\TSI - .pdf's\042_Evangeline Thruway SB @ Third St Layout1 -A(1).pdf#,042_Evangeline Thruway SB @ Third St Layout1-B (1).pdf#\\Becky-34318\TSI - .pdf's\042_Evangeline Thruway SB @ Third St Layout1-B (1).pdf#
-92.012525,30.228667,43.00000000000,SB THRUWAY @ JEFFERSON,-92.01252500000,30.22866700000,,
-92.992489,30.263788,44.00000000000,LOUISIANA @ ARDOIN DR (TARGET),-92.99248900000,30.26378800000,,
-91.998204,30.223605,45.00000000000,PINHOOK @ SURREY,-91.99820400000,30.22360500000,,
-92.008606,30.212457,46.00000000000,PINHOOK @ GENERAL MOUTON,-92.00860600000,30.21245700000,,
-92.009791,30.210532,47.00000000000,PINHOOK @ UNIVERSITY,-92.00979100000,30.21053200000,,
-92.011829,30.207011,48.00000000000,PINHOOK @ ST MARY,-92.01182900000,30.20701100000,,
-92.01316,30.212951,49.00000000000,UNIVERSITY @ TAFT,-92.01316000000,30.21295100000,,
-92.0149,30.214241,50.00000000000,UNIVERSITY @ MCKINLEY,-92.01490000000,30.21424100000,,
-92.026544,30.199146,51.00000000000,COLLEGE @ W BAYOU PKWY,-92.02654400000,30.19914600000,,
-92.031724,30.224463,52.00000000000,CONGRESS @ ST MARY,-92.03172400000,30.22446300000,,
