devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup,locname,locdesc,thname,thdesc,thnetid,thdeploytime,createFoi,dssensorid,dsobspropertyid,dsname,dsdesc,dsmunit,dsmsymbol,dsmdefinition,dsobstype
36,Lafayette Public School System,1,STEM Academy (Middle),"805 Teurlings Drive, Lafayette, LA 70501",-91.990089,30.2483376,,,,,,,0,6,,,,,,,,,,,,,,,
37,Lafayette Public School System,2,Lafayette Middle ,"1301 W. University,  Lafayette, LA 70506",-92.028009,30.224604,,,,,,,0,6,,,,,,,,,,,,,,,
38,Lafayette Public School System,3,L. G. Alleman (Middle),"600 Roselawn Boulevard, Lafayette, LA 70503",-92.0424767,30.1913178,,,,,,,0,6,,,,,,,,,,,,,,,
39,Lafayette Public School System,4,Broadmoore Elementary  ,"609 Broadmoor Boulevard, Lafayette, La 70503",-92.0590503,30.1725249,,,,,,,0,6,,,,,,,,,,,,,,,
40,Lafayette Public School System,5,S. J. Montgomery (Elementary) ,"601 Foreman Drive,  Lafayette, LA 70501",-92.0599924,30.2114378,,,,,,,0,6,,,,,,,,,,,,,,,
41,Lafayette Public School System,6,Early College Academy,"320 Devalcourt, Lafayette, LA 70506",-92.054246,30.216481,,,,,,,0,6,,,,,,,,,,,,,,,
42,Lafayette Public School System,7,Evangeline Elementary ,"610 E. Butcher Switch, Lafayette, LA 70507",-92.0103741,30.2838258,,,,,,,0,6,,,,,,,,,,,,,,,
43,Lafayette Public School System,8,J. W. James ,"1500 W. Willow Street, Scott, LA 70583",-92.0442209,30.245616,,,,,,,0,6,,,,,,,,,,,,,,,
44,Lafayette Public School System,9,Truman Elementary,"200 Clara Street, Lafayette, LA 70501",-92.0320652,30.2485131,,,,,,,0,6,,,,,,,,,,,,,,,
45,Lafayette Public School System,10,Alice Boucher Elementary,"400 Patterson Street,  Lafayette, LA 70501",-92.019491,30.24932,,,,,,,0,6,,,,,,,,,,,,,,,
46,Intersections,1,PINHOOK @ SIMCOE,"2005,E Simcoe St,Lafayette,LA,US,70501",-91.995072,30.226246,,,,,,,0,7,,,,,,,,,,,,,,,
47,Intersections,2,SIMCOE @ 12TH,"1402,12th St,Lafayette,LA,US,70501",-91.99984,30.229605,,,,,,,0,7,,,,,,,,,,,,,,,
48,Intersections,3,SIMCOE @ JEFFERSON/SURREY,"801-815,LA-94,Lafayette,LA,US,70501",-92.007809,30.230583,,,,,,,0,7,,,,,,,,,,,,,,,
49,Intersections,4,MOSS @ SIMCOE,"701,E Simcoe St,Lafayette,LA,US,70501",-92.009086,30.230698,,,,,,,0,7,,,,,,,,,,,,,,,
50,Intersections,5,NB THRUWAY @ SIMCOE,"403,NE Evangeline Throughway,Lafayette,LA,US,70501",-92.01309,30.231028,,,,,,,0,7,,,,,,,,,,,,,,,
51,Intersections,6,SB THRUWAY @ SIMCOE,"313,E Simcoe St,Lafayette,LA,US,70501",-92.013766,30.231073,,,,,,,0,7,,,,,,,,,,,,,,,
52,Intersections,7,SIMCOE @ PIERCE,"299,W Simcoe St,Lafayette,LA,US,70501",-92.018806,30.230674,,,,,,,0,7,,,,,,,,,,,,,,,
53,Intersections,8,UNIVERSITY @ AGNES/SIMCOE,"1301-1399,W Simcoe St,Lafayette,LA,US,70501",-92.030451,30.229311,,,,,,,0,7,,,,,,,,,,,,,,,
54,Intersections,9,LOUISIANA @ CARMEL,"101,LA-94,Lafayette,LA,US,70501",-92.0023,30.234571,,,,,,,0,7,,,,,,,,,,,,,,,
55,Intersections,10,LOUISIANA @ MUDD,"1110,Louisiana Ave,Lafayette,LA,US,70501",-92.002689,30.231739,,,,,,,0,7,,,,,,,,,,,,,,,
56,Intersections,11,NB THRUWAY @ LOUISIANA,"208,Louisiana Ave,Lafayette,LA,US,70501",-92.009452,30.224875,,,,,,,0,7,,,,,,,,,,,,,,,
57,Intersections,12,SB THRUWAY @ JOHNSTON,"101,Louisiana Ave,Lafayette,LA,US,70501",-92.010323,30.22456,,,,,,,0,7,,,,,,,,,,,,,,,
58,Intersections,13,JOHNSTON @ CYPRESS/GARFIELD,"201,Johnston St,Lafayette,LA,US,70501",-92.014468,30.22438,,,,,,,0,7,,,,,,,,,,,,,,,
59,Intersections,14,JOHNSTON @ VERMILION,"499,US-167,Lafayette,LA,US,70501",-92.015281,30.223125,,,,,,,0,7,,,,,,,,,,,,,,,
60,Intersections,15,JOHNSTON @ MAIN,"700,US-167,Lafayette,LA,US,70501",-92.016019,30.22197,,,,,,,0,7,,,,,,,,,,,,,,,
61,Intersections,16,JOHNSTON @ JEFFERSON,"1100-1108,Jefferson St,Lafayette,LA,US,70501",-92.017208,30.220095,,,,,,,0,7,,,,,,,,,,,,,,,
62,Intersections,17,JOHNSTON @ UNIVERSITY,"101,LA-182,Lafayette,LA,US,70503",-92.019003,30.217274,,,,,,,0,7,,,,,,,,,,,,,,,
63,Intersections,18,JOHNSTON @ ST MARY,"1500,US-167,Lafayette,LA,US,70503",-92.021742,30.214487,,,,,,,0,7,,,,,,,,,,,,,,,
64,Intersections,19,JOHNSTON @ LEWIS,"1730-1798,US-167,Lafayette,LA,US,70503",-92.025426,30.212282,,,,,,,0,7,,,,,,,,,,,,,,,
65,Intersections,20,JOHNSTON @ ST JULIEN,"1998,US-167,Lafayette,LA,US,70503",-92.026909,30.21151,,,,,,,0,7,,,,,,,,,,,,,,,
66,Intersections,21,JOHNSTON @ COLLEGE,"2701,US-167,Lafayette,LA,US,70503",-92.038364,30.207271,,,,,,,0,7,,,,,,,,,,,,,,,
67,Intersections,22,JOHNSTON @ BERTRAND,"2898,US-167,Lafayette,LA,US,70503",-92.040778,30.205814,,,,,,,0,7,,,,,,,,,,,,,,,
68,Intersections,23,JOHNSTON @ VITAL/DOUCET,"3144-3198,US-167,Lafayette,LA,US,70503",-92.048881,30.203424,,,,,,,0,7,,,,,,,,,,,,,,,
69,Intersections,24,COLLEGE @ PINHOOK,"1631-1699,LA-3025,Lafayette,LA,US,70503",-92.015356,30.201021,,,,,,,0,7,,,,,,,,,,,,,,,
70,Intersections,25,COLLEGE @ COOLIDGE/BENDEL,"1404,S College Rd,Lafayette,LA,US,70503",-92.019356,30.20144,,,,,,,0,7,,,,,,,,,,,,,,,
71,Intersections,26,JOHNSTON @ ARNOULD,"3601,US-167,Lafayette,LA,US,70503",-92.05302,30.201925,,,,,,,0,7,,,,,,,,,,,,,,,
72,Intersections,27,JOHNSTON @ BRENTWOOD,"4200,Johnston St,Lafayette,LA,US,70503",-92.057046,30.196231,,,,,,,0,7,,,,,,,,,,,,,,,
73,Intersections,28,JOHNSTON @ GUILBEAU/CAMELLIA,"4405-4499,US-167,Lafayette,LA,US,70503",-92.058626,30.193735,,,,,,,0,7,,,,,,,,,,,,,,,
74,Intersections,29,JOHNSTON @ LANA,"4573-4603,US-167,Lafayette,LA,US,70503",-92.063576,30.188856,,,,,,,0,7,,,,,,,,,,,,,,,
75,Intersections,30,JOHNSTON @ RIDGE,"5403-5405,US-167,Lafayette,LA,US,70503",-92.071253,30.181366,,,,,,,0,7,,,,,,,,,,,,,,,
76,Intersections,31,JOHNSTON @ AMBASSADOR,"3501,LA-3073,Lafayette,LA,US,70503",-92.074486,30.178089,,,,,,,0,7,,,,,,,,,,,,,,,
77,Intersections,32,THRUWAY @ SURREY/UNIVERSITY,"1806,LA 728-8,Lafayette,LA,US,70508",-91.99952,30.209169,,,,,,,0,7,,,,,,,,,,,,,,,
78,Intersections,33,THRUWAY @ PINHOOK,"1401-1407,US-90,Lafayette,LA,US,70501",-92.004668,30.21769,,,,,,,0,7,,,,,,,,,,,,,,,
79,Intersections,34,SURREY @ BLUE BLVD,"1726-1798,LA 728-8,Lafayette,LA,US,70508",-91.995171,30.210632,,,,,,,0,7,,,,,,,,,,,,,,,
80,Intersections,35,NB THRUWAY @ 12TH,"815-899,US-90,Lafayette,LA,US,70501",-92.008184,30.222501,,,,,,,0,7,,,,,,,,,,,,,,,
81,Intersections,36,NB THRUWAY @ JEFFERSON,"401-415,Jefferson Blvd,Lafayette,LA,US,70501",-92.011668,30.229022,,,,,,,0,7,,,,,,,,,,,,,,,
82,Intersections,37,NB THRUWAY @ 3RD,"37,US-167,Lafayette,LA,US,70501",-92.01214,30.229874,,,,,,,0,7,,,,,,,,,,,,,,,
83,Intersections,38,NB THRUWAY @ MUDD,"608,US-167,Lafayette,LA,US,70501",-92.012778,30.232959,,,,,,,0,7,,,,,,,,,,,,,,,
84,Intersections,39,NB THRUWAY @ WILLOW,"101,E Willow St,Lafayette,LA,US,70501",-92.011811,30.244646,,,,,,,0,7,,,,,,,,,,,,,,,
85,Intersections,40,SB THRUWAY @ WILLOW,,-92.013375,30.244843,,,,,,,0,7,,,,,,,,,,,,,,,
86,Intersections,41,SB THRUWAY @ MUDD,"600,US-167,Lafayette,LA,US,70501",-92.014062,30.233118,,,,,,,0,7,,,,,,,,,,,,,,,
87,Intersections,42,SB THRUWAY @ 3RD,"301,E 3rd St,Lafayette,LA,US,70501",-92.01298,30.229514,,,,,,,0,7,,,,,,,,,,,,,,,
88,Intersections,43,SB THRUWAY @ JEFFERSON,"301,Jefferson Blvd,Lafayette,LA,US,70501",-92.012525,30.228667,,,,,,,0,7,,,,,,,,,,,,,,,
89,Intersections,44,LOUISIANA @ ARDOIN DR (TARGET),"22201-22491,Pine Hill Cemetery Rd,Iowa,LA,US,70647",-92.992489,30.263788,,,,,,,0,7,,,,,,,,,,,,,,,
90,Intersections,45,PINHOOK @ SURREY,"1108-1198,LA 728-8,Lafayette,LA,US,70501",-91.998204,30.223605,,,,,,,0,7,,,,,,,,,,,,,,,
91,Intersections,46,PINHOOK @ GENERAL MOUTON,"200,W Pinhook Rd,Lafayette,LA,US,70501",-92.008606,30.212457,,,,,,,0,7,,,,,,,,,,,,,,,
92,Intersections,47,PINHOOK @ UNIVERSITY,"400-440,LA-182,Lafayette,LA,US,70503",-92.009791,30.210532,,,,,,,0,7,,,,,,,,,,,,,,,
93,Intersections,48,PINHOOK @ ST MARY,"700-748,LA-182,Lafayette,LA,US,70503",-92.011829,30.207011,,,,,,,0,7,,,,,,,,,,,,,,,
94,Intersections,49,UNIVERSITY @ TAFT,"703,E University Ave,Lafayette,LA,US,70503",-92.01316,30.212951,,,,,,,0,7,,,,,,,,,,,,,,,
95,Intersections,50,UNIVERSITY @ MCKINLEY,"501,E University Ave,Lafayette,LA,US,70503",-92.0149,30.214241,,,,,,,0,7,,,,,,,,,,,,,,,
96,Intersections,51,COLLEGE @ W BAYOU PKWY,"1198,LA-3025,Lafayette,LA,US,70503",-92.026544,30.199146,,,,,,,0,7,,,,,,,,,,,,,,,
97,Intersections,52,CONGRESS @ ST MARY,"1600,W St Mary Blvd,Lafayette,LA,US,70506",-92.031724,30.224463,,,,,,,0,7,,,,,,,,,,,,,,,
98,Intersections,53,CAJUNDOME @ SOUVENIR GATE,"201,Reinhardt Dr,Lafayette,LA,US,70506",-92.03898,30.216354,,,,,,,0,7,,,,,,,,,,,,,,,
99,Intersections,54,CONGRESS @ FOREMAN,,-92.056521,30.207291,,,,,,,0,7,,,,,,,,,,,,,,,
100,Intersections,55,CONGRESS @ LAFAYETTE,"460-498,W Congress St,Lafayette,LA,US,70501",-92.020796,30.226938,,,,,,,0,7,,,,,,,,,,,,,,,
101,Intersections,56,MOSS @ PONT DES MOUTON,"500,E Pont Des Mouton Rd,Lafayette,LA,US,70507",-92.008121,30.273035,,,,,,,0,7,,,,,,,,,,,,,,,
102,Intersections,57,MOSS @ ALEXANDER,"2527,Moss St,Lafayette,LA,US,70501",-92.005487,30.255597,,,,,,,0,7,,,,,,,,,,,,,,,
103,Intersections,58,MOSS @ PINE,"100,E Pine St,Lafayette,LA,US,70501",-92.006191,30.246141,,,,,,,0,7,,,,,,,,,,,,,,,
104,Intersections,59,MOSS @ WILLOW,"348-398,E Willow St,Lafayette,LA,US,70501",-92.006362,30.243787,,,,,,,0,7,,,,,,,,,,,,,,,
105,Intersections,60,MOSS @ MUDD,"801,Mudd Ave,Lafayette,LA,US,70501",-92.008756,30.232478,,,,,,,0,7,,,,,,,,,,,,,,,
106,Intersections,61,JEFFERSON @ CYPRESS,"103,E Cypress St,Lafayette,LA,US,70501",-92.01576,30.227292,,,,,,,0,7,,,,,,,,,,,,,,,
107,Intersections,62,JEFFERSON @ GARFIELD,"323,Jefferson St,Lafayette,LA,US,70501",-92.01739,30.226603,,,,,,,0,7,,,,,,,,,,,,,,,
108,Intersections,63,JEFFERSON @ CONGRESS,"433-499,Jefferson St,Lafayette,LA,US,70501",-92.018336,30.225698,,,,,,,0,7,,,,,,,,,,,,,,,
109,Intersections,64,JEFFERSON @ VERMILION,"109,E Vermilion St,Lafayette,LA,US,70501",-92.018776,30.224074,,,,,,,0,7,,,,,,,,,,,,,,,
110,Intersections,65,UNIVERSITY @ LEE,"1255-1299,Lee Ave,Lafayette,LA,US,70501",-92.020661,30.21856,,,,,,,0,7,,,,,,,,,,,,,,,
111,Intersections,66,BERTRAND @ BANKS,"136,Banks Ave,Lafayette,LA,US,70506",-92.060736,30.22712,,,,,,,0,7,,,,,,,,,,,,,,,
112,Intersections,67,UNIVERSITY @ ST JOHN/ST LANDRY,"518,W University Ave,Lafayette,LA,US,70506",-92.022768,30.220144,,,,,,,0,7,,,,,,,,,,,,,,,
113,Intersections,68,UNIVERSITY @ CONGRESS,"1229-1299,W Congress St,Lafayette,LA,US,70501",-92.028279,30.226078,,,,,,,0,7,,,,,,,,,,,,,,,
114,Intersections,69,UNIVERSITY @ CAMERON,"1507,Cameron St,Lafayette,LA,US,70506",-92.03234,30.232349,,,,,,,0,7,,,,,,,,,,,,,,,
115,Intersections,70,UNIVERSITY @ MADELINE,"716,N University Ave,Lafayette,LA,US,70506",-92.03241,30.239067,,,,,,,0,7,,,,,,,,,,,,,,,
116,Intersections,71,CAMERON @ ST JOHN,"698,US-90,Lafayette,LA,US,70501",-92.022838,30.231856,,,,,,,0,7,,,,,,,,,,,,,,,
117,Intersections,72,CAMERON @ PIERCE,"299,US-90,Lafayette,LA,US,70501",-92.019091,30.233132,,,,,,,0,7,,,,,,,,,,,,,,,
118,Intersections,73,CAMERON @ ST ANTOINE,"898,US-90,Lafayette,LA,US,70501",-92.024939,30.23197,,,,,,,0,7,,,,,,,,,,,,,,,
119,Intersections,74,COLLEGE @ BERTRAND/REINHARDT,"701-735,LA-3025,Lafayette,LA,US,70506",-92.045385,30.212553,,,,,,,0,7,,,,,,,,,,,,,,,
120,Intersections,75,ERASTE LANDRY @ N BERTRAND,"1560-1598,LA-3025,Lafayette,LA,US,70506",-92.052413,30.224725,,,,,,,0,7,,,,,,,,,,,,,,,
121,Intersections,76,BERTRAND @ CONGRESS,"2402,W Congress St,Lafayette,LA,US,70506",-92.046926,30.214905,,,,,,,0,7,,,,,,,,,,,,,,,
122,Intersections,77,CONGRESS @ ST JOHN,"612,W Congress St,Lafayette,LA,US,70501",-92.02285,30.226984,,,,,,,0,7,,,,,,,,,,,,,,,
123,Intersections,78,PINHOOK @ KALISTE SALOOM,"101,E Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.014069,30.188609,,,,,,,0,7,,,,,,,,,,,,,,,
124,Intersections,79,UNIVERSITY @ VERSAILLES,"360-398,Versailles Blvd,Lafayette,LA,US,70501",-92.02728,30.224666,,,,,,,0,7,,,,,,,,,,,,,,,
125,Intersections,80,VERMILION @ LAFAYETTE,"211,W Vermilion St,Lafayette,LA,US,70501",-92.020776,30.224071,,,,,,,0,7,,,,,,,,,,,,,,,
126,Intersections,81,BUCHANAN @ VERMILION,"699,S Buchanan St,Lafayette,LA,US,70501",-92.019788,30.224082,,,,,,,0,7,,,,,,,,,,,,,,,
127,Intersections,82,PINHOOK @ AUDUBON/RIVER RD,"1115,W Pinhook Rd,Lafayette,LA,US,70503",-92.014172,30.203034,,,,,,,0,7,,,,,,,,,,,,,,,
128,Intersections,83,SIMCOE @ ST JOHN,"698,W Simcoe St,Lafayette,LA,US,70501",-92.022867,30.230548,,,,,,,0,7,,,,,,,,,,,,,,,
129,Intersections,84,SB THRUWAY @ TAFT,"104,14th St,Lafayette,LA,US,70501",-92.008171,30.220523,,,,,,,0,7,,,,,,,,,,,,,,,
130,Intersections,85,NB THRUWAY @ 14TH,"121-201,14th St,Lafayette,LA,US,70501",-92.007313,30.22088,,,,,,,0,7,,,,,,,,,,,,,,,
131,Intersections,86,ST MARY @ HEYMANN,"1015,E St Mary Blvd,Lafayette,LA,US,70503",-92.013194,30.20803,,,,,,,0,7,,,,,,,,,,,,,,,
132,Intersections,87,ST MARY @ COOLIDGE,"720-798,Coolidge St,Lafayette,LA,US,70503",-92.013795,30.208483,,,,,,,0,7,,,,,,,,,,,,,,,
133,Intersections,88,ST MARY @ TAFT,"220,Stewart St,Lafayette,LA,US,70501",-92.016009,30.220523,,,,,,,0,7,,,,,,,,,,,,,,,
134,Intersections,89,ST MARY @ MCKINLEY/GIRARD PARK,"600,E St Mary Blvd,Lafayette,LA,US,70503",-92.0177,30.21139,,,,,,,0,7,,,,,,,,,,,,,,,
135,Intersections,90,ST MARY @ HEBRARD,"683-699,Hebrard Blvd,Lafayette,LA,US,70503",-92.019679,30.212926,,,,,,,0,7,,,,,,,,,,,,,,,
